S.No,Year,Title,Author,DOI,,,,,Abstract
,2023,Engineering synthetic biomolecular condensates,"Dai, Yifan",https://doi.org/10.1038/s44222-023-00052-6,0,0,0,0,
,2019,Probing and engineering liquid-phase organelles,"Bracha, Dan",https://doi.org/10.1038/s41587-019-0341-6,0,0,0,0,"Cells compartmentalize their intracellular environment to orchestrate countless simultaneous biochemical processes. Many intracellular tasks rely on membrane-less organelles, multicomponent condensates that assemble by liquid–liquid phase separation. A decade of intensive research has provided a basic understanding of the biomolecular driving forces underlying the form and function of such organelles. Here we review the technologies enabling these developments, along with approaches to designing spatiotemporally actuated organelles based on multivalent low-affinity interactions. With these recent advances, it is now becoming possible both to modulate the properties of native condensates and to engineer entirely new structures, with the potential for widespread biomedical and biotechnological applications."
,2022,Learning the chemical grammar of biomolecular condensates,"Kilgore, Henry R",https://doi.org/10.1038/s41589-022-01046-y,0,0,0,0,"Biomolecular condensates compartmentalize and regulate assemblies of biomolecules engaged in vital physiological processes in cells. Specific proteins and nucleic acids engaged in shared functions occur in any one kind of condensate, suggesting that these compartments have distinct chemical specificities. Indeed, some small-molecule drugs concentrate in specific condensates due to chemical properties engendered by particular amino acids in the proteins in those condensates. Here we argue that the chemical properties that govern molecular interactions between a small molecule and biomolecules within a condensate can be ascertained for both the small molecule and the biomolecules. We propose that learning this ‘chemical grammar’, the rules describing the chemical features of small molecules that engender attraction or repulsion by the physicochemical environment of a specific condensate, should enable design of drugs with improved efficacy and reduced toxicity."
,2024,The molecular basis for cellular function of intrinsically disordered protein regions,"Holehouse, Alex S",https://doi.org/10.1038/s41580-023-00673-0,0,0,0,0,"Intrinsically disordered protein regions exist in a collection of dynamic interconverting conformations that lack a stable 3D structure. These regions are structurally heterogeneous, ubiquitous and found across all kingdoms of life. Despite the absence of a defined 3D structure, disordered regions are essential for cellular processes ranging from transcriptional control and cell signalling to subcellular organization. Through their conformational malleability and adaptability, disordered regions extend the repertoire of macromolecular interactions and are readily tunable by their structural and chemical context, making them ideal responders to regulatory cues. Recent work has led to major advances in understanding the link between protein sequence and conformational behaviour in disordered regions, yet the link between sequence and molecular function is less well defined. Here we consider the biochemical and biophysical foundations that underlie how and why disordered regions can engage in productive cellular functions, provide examples of emerging concepts and discuss how protein disorder contributes to intracellular information processing and regulation of cellular function."
,2022,Controlling synthetic membraneless organelles by a red-light-dependent singlet oxygen-generating protein,"Li, Manjia",https://doi.org/10.1038/s41467-022-30933-0,0,0,0,0,"Membraneless organelles (MLOs) formed via protein phase separation have great implications for both physiological and pathological processes. However, the inability to precisely control the bioactivities of MLOs has hindered our understanding of their roles in biology, not to mention their translational applications. Here, by combining intrinsically disordered domains such as RGG and mussel-foot proteins, we create an in cellulo protein phase separation system, of which various biological activities can be introduced via metal-mediated protein immobilization and further controlled by the water-soluble chlorophyll protein (WSCP)—a remarkably stable, red-light-responsive singlet oxygen generator. The WSCP-laden protein condensates undergo a liquid-to-solid phase transition on light exposure, due to oxidative crosslinking, providing a means to control catalysis within synthetic MLOs. Moreover, these photoresponsive condensates, which retain the light-induced phase-transition behavior in living cells, exhibit marked membrane localization, reminiscent of the semi-membrane-bound compartments like postsynaptic densities in nervous systems. Together, this engineered system provides an approach toward controllable synthetic MLOs and, alongside its light-induced phase transition, may well serve to emulate and explore the aging process at the subcellular or even molecular level."
,2019,The molecular language of membraneless organelles,"Gomes, Edward",https://doi.org/10.1074/jbc.TM118.001192,0,0,0,0,
,2022,WNK kinases sense molecular crowding and rescue cell volume via phase separation,"Boyd-Shiwarski, Cary R.",https://doi.org/10.1016/j.cell.2022.09.042,0,0,0,0,
,2023,BRD4-targeting PROTAC as a unique tool to study biomolecular condensates,"Shi, Yi",https://doi.org/10.1038/s41421-023-00544-0,0,0,0,0,"<p>Biomolecular condensates play key roles in various biological processes. However, specific condensation modulators are currently lacking. PROTAC is a new technology that can use small molecules to degrade target proteins specifically. PROTAC molecules are expected to regulate biomolecular condensates dynamically by degrading/recovering key molecules in biomolecular condensates. In this study, we employed a BRD4-targeting PROTAC molecule to regulate the super-enhancer (SE) condensate and monitored the changes of SE condensate under PROTAC treatment using live-cell imaging and high-throughput sequencing technologies. As a result, we found that BRD4-targeting PROTACs can significantly reduce the BRD4 condensates, and we established a quantitative method for tracking BRD4 condensates by PROTAC and cellular imaging. Surprisingly and encouragingly, BRD4 condensates were observed to preferentially form and play specialized roles in biological process regulation for the first time. Additionally, BRD4 PROTAC makes it possible to observe the dynamics of other condensate components under the continued disruption of BRD4 condensates. Together, these results shed new light on research methods for liquid-liquid phase separation (LLPS), and specifically demonstrate that PROTAC presents a powerful and distinctive tool for the study of biomolecular condensates.</p>"
,2019,"Physiological, Pathological, and Targetable Membraneless Organelles in Neurons","Ryan, Veronica H.",https://doi.org/10.1016/j.tins.2019.08.005,0,0,0,0,"Neurons require unique subcellular compartmentalization to function efficiently. Formed from proteins and RNAs through liquid–liquid phase separation, membraneless organelles (MLOs) have emerged as one way in which cells form distinct, specialized compartments in the absence of lipid membranes. We first discuss MLOs that are common to many cell types as well as those that are specific to neurons. Interestingly, many proteins associated with neurodegenerative disease are found in MLOs, particularly in stress and transport granules. We next review possible links between neurodegeneration and MLOs, and the hypothesis that the protein and RNA inclusions formed in disease are related to the functional complexes occurring inside these MLOs. Finally, we discuss the hypothesis that protein post-translational modifications (PTMs), which can alter phase separation, can modulate MLO formation and provide potential new therapeutic strategies for currently untreatable neurodegenerative diseases."
,2023,Different mechanisms of synapsin-induced vesicle clustering at inhibitory and excitatory synapses,"Song, Sang-Ho",https://doi.org/10.1016/j.celrep.2023.113004,0,0,0,0,
,2015,Polymer physics of intracellular phase transitions,"Brangwynne, Clifford P.",https://doi.org/10.1038/nphys3532,0,0,0,0,"Intracellular organelles are either membrane-bound vesicles or membrane-less compartments that are made up of proteins and RNA. These organelles play key biological roles, by compartmentalizing the cell to enable spatiotemporal control of biological reactions. Recent studies suggest that membrane-less intracellular compartments are multicomponent viscous liquid droplets that form via phase separation. Proteins that have an intrinsic tendency for being conformationally heterogeneous seem to be the main drivers of liquid-liquid phase separation in the cell. These findings highlight the relevance of classical concepts from the physics of polymeric phase transitions for understanding the assembly of intracellular membrane-less compartments. However, applying these concepts is challenging, given the heteropolymeric nature of protein sequences, the complex intracellular environment, and non-equilibrium features intrinsic to cells. This provides new opportunities for adapting established theories and for the emergence of new physics."
,2015,"The LC Domain of hnRNPA2 Adopts Similar Conformations in Hydrogel Polymers, Liquid-like Droplets, and Nuclei","Xiang, Siheng",https://doi.org/10.1016/j.cell.2015.10.040,0,0,0,0,
,2022,A conceptual framework for understanding phase separation and addressing open questions and challenges,"Mittag, Tanja",https://doi.org/10.1016/j.molcel.2022.05.018,0,0,0,0,
,2022,Excipients Do Regulate Phase Separation in Lysozyme and Thus Also Its Hydration,"Pyne, Partha",https://doi.org/10.1021/acs.jpclett.1c03449,0,0,0,0,
,1990,Chapter 3 Chapter Two different ways evolution makes neurons larger,"Bekkers, John M.",https://doi.org/10.1016/S0079-6123(08)61239-X,0,0,0,0,
,2021,Multivalent electrostatic pi–cation interaction between synaptophysin and synapsin is responsible for the coacervation,"Kim, Goeun",https://doi.org/10.1186/s13041-021-00846-y,0,0,0,0,"<p> We recently showed that synaptophysin (Syph) and synapsin (Syn) can induce liquid–liquid phase separation (LLPS) to cluster small synaptic-like microvesicles in living cells which are highly reminiscent of SV cluster. However, as there is no physical interaction between them, the underlying mechanism for their coacervation remains unknown. Here, we showed that the coacervation between Syph and Syn is primarily governed by multivalent <italic>pi</italic> –cation electrostatic interactions among tyrosine residues of Syph C-terminal (Ct) and positively charged Syn. We found that Syph Ct is intrinsically disordered and it alone can form liquid droplets by interactions among themselves at high concentration in a crowding environment in vitro or when assisted by additional interactions by tagging with light-sensitive CRY2PHR or subunits of a multimeric protein in living cells. Syph Ct contains 10 repeated sequences, 9 of them start with tyrosine, and mutating 9 tyrosine to serine (9YS) completely abolished the phase separating property of Syph Ct, indicating tyrosine-mediated <italic>pi</italic> -interactions are critical. We further found that 9YS mutation failed to coacervate with Syn, and since 9YS retains Syph’s negative charge, the results indicate that <italic>pi</italic> –cation interactions rather than simple charge interactions are responsible for their coacervation. In addition to revealing the underlying mechanism of Syph and Syn coacervation, our results also raise the possibility that physiological regulation of <italic>pi</italic> –cation interactions between Syph and Syn during synaptic activity may contribute to the dynamics of synaptic vesicle clustering. </p>"
,1998,SynGAP: a Synaptic RasGAP that Associates with the PSD-95/SAP90 Protein Family,"Kim, Jee Hae",https://doi.org/10.1016/S0896-6273(00)81008-9,0,0,0,0,
,2024,SynGAP regulates synaptic plasticity and cognition independently of its catalytic activity,"Araki, Yoichi",https://doi.org/10.1126/science.adk1291,0,0,0,0,"<p> SynGAP is an abundant synaptic GTPase-activating protein (GAP) critical for synaptic plasticity, learning, memory, and cognition. Mutations in <italic>SYNGAP1</italic> in humans result in intellectual disability, autistic-like behaviors, and epilepsy. Heterozygous <italic>Syngap1</italic> -knockout mice display deficits in synaptic plasticity, learning, and memory and exhibit seizures. It is unclear whether SynGAP imparts structural properties at synapses independently of its GAP activity. Here, we report that inactivating mutations within the GAP domain do not inhibit synaptic plasticity or cause behavioral deficits. Instead, SynGAP modulates synaptic strength by physically competing with the AMPA-receptor-TARP excitatory receptor complex in the formation of molecular condensates with synaptic scaffolding proteins. These results have major implications for developing therapeutic treatments for <italic>SYNGAP1</italic> -related neurodevelopmental disorders. </p>"
,2024,Half a century legacy of long-term potentiation,"Caya-Bissonnette, Léa",https://doi.org/10.1016/j.cub.2024.05.008,0,0,0,0,
